dataset,model,feature,importance_mae_increase,importance_std
mat,random_forest_full_no_grades,failures,0.4129754871923447,0.15652593843164384
mat,random_forest_full_no_grades,absences,0.289023347601309,0.07603310622092584
mat,random_forest_full_no_grades,risk_index,0.1108379546582332,0.02697019622429076
mat,random_forest_full_no_grades,sex,0.026757701662888378,0.011117062930287858
mat,random_forest_full_no_grades,schoolsup_yes,0.02250827291843449,0.010679896185748095
mat,random_forest_full_no_grades,Medu,0.018732186963431464,0.01711989983156287
mat,random_forest_full_no_grades,age,0.017601783637964673,0.02475034137520615
mat,random_forest_full_no_grades,goout,0.016816574967913,0.011339776010209203
mat,random_forest_full_no_grades,resource_ambition_count,0.013837176103298399,0.01688101691023147
mat,random_forest_full_no_grades,freetime,0.009853357559498076,0.0022418626163618794
mat,random_forest_full_no_grades,Mjob,0.0095553337099759,0.006400531905952481
mat,random_forest_full_no_grades,parent_edu_index,0.009044319400031808,0.016689517347146975
mat,random_forest_full_no_grades,activities_yes,0.00505888470288367,0.004044468792898721
mat,random_forest_full_no_grades,guardian,0.004708130060920235,0.001797303441279137
mat,random_forest_full_no_grades,Fjob,0.0032553959824577205,0.004821832627376274
mat,random_forest_full_no_grades,romantic_yes,0.003255393039071608,0.01898657807324067
mat,random_forest_full_no_grades,support_count,0.0030720356494315926,0.011367816918029927
mat,random_forest_full_no_grades,Dalc,0.002417971521894202,0.0015712022344088832
mat,random_forest_full_no_grades,Walc,0.0018305055473677445,0.00199921619474261
mat,random_forest_full_no_grades,reason,0.0015919717054796666,0.0075060993961456185
mat,random_forest_full_no_grades,famrel,0.0015240833159372523,0.002428364556354
mat,random_forest_full_no_grades,address,0.0013457204976259352,0.000707108260687639
mat,random_forest_full_no_grades,traveltime,0.0012820976684932983,0.0024695433182629666
mat,random_forest_full_no_grades,alcohol_index,0.0012249224283147786,0.002309576401339403
mat,random_forest_full_no_grades,nursery_yes,0.0008286835717877139,0.00027685644119940917
mat,random_forest_full_no_grades,internet_yes,0.00025212821040749845,0.003088883030579422
mat,random_forest_full_no_grades,paid_yes,0.0001739363797919058,0.005535048831039302
mat,random_forest_full_no_grades,school,0.0,0.0
mat,random_forest_full_no_grades,Pstatus,-0.00017845746469848933,0.0010881989440413246
mat,random_forest_full_no_grades,studytime,-0.0011012871309053374,0.003753158815128445
mat,random_forest_full_no_grades,study_vs_social_index,-0.0016021669952629657,0.009319232661820531
mat,random_forest_full_no_grades,famsize,-0.001754608452603268,0.0017829860255987394
mat,random_forest_full_no_grades,social_life_index,-0.0023771266602508946,0.00863572420565247
mat,random_forest_full_no_grades,health,-0.002878890299943393,0.015921982606581224
mat,random_forest_full_no_grades,higher_yes,-0.0032129866135942376,0.0032051392678783073
mat,random_forest_full_no_grades,Fedu,-0.004130045773530533,0.002722906095464408
mat,random_forest_full_no_grades,famsup_yes,-0.005259320074496232,0.013206153905720115
por,random_forest_full_no_grades,failures,0.4093927309982777,0.05416458371685553
por,random_forest_full_no_grades,absences,0.05515006910100895,0.01300650506135668
por,random_forest_full_no_grades,higher_yes,0.0349703166401214,0.022347976718517615
por,random_forest_full_no_grades,risk_index,0.03277415960878098,0.018531219870504868
por,random_forest_full_no_grades,school,0.025819518500183537,0.03886915470436422
por,random_forest_full_no_grades,resource_ambition_count,0.024223635489441,0.01341714792475004
por,random_forest_full_no_grades,schoolsup_yes,0.011578318054607184,0.02455728760262299
por,random_forest_full_no_grades,health,0.01122051389429255,0.007840886201434276
por,random_forest_full_no_grades,parent_edu_index,0.010466055765256499,0.012152448295220476
por,random_forest_full_no_grades,alcohol_index,0.009670871249838786,0.007580476806455475
por,random_forest_full_no_grades,Medu,0.008879299278359686,0.003603044311179937
por,random_forest_full_no_grades,Dalc,0.007520839490653008,0.00633834418134666
por,random_forest_full_no_grades,sex,0.006867134957823051,0.0030322938802198876
por,random_forest_full_no_grades,age,0.006717485505823051,0.00610852075084929
por,random_forest_full_no_grades,support_count,0.0058558612702634075,0.0028492131611415833
por,random_forest_full_no_grades,famsup_yes,0.0028276022698477286,0.0021881529872139205
por,random_forest_full_no_grades,internet_yes,0.0023553238500519493,0.0014691475862621773
por,random_forest_full_no_grades,Walc,0.0022933578433300015,0.0015227700419583486
por,random_forest_full_no_grades,Fjob,0.002091517335268467,0.002108554744913234
por,random_forest_full_no_grades,study_vs_social_index,0.0020449416615180736,0.0053601041055932296
por,random_forest_full_no_grades,traveltime,0.0019140022849300387,0.0029330407325652646
por,random_forest_full_no_grades,address,0.0018943434106333701,0.002389435403838118
por,random_forest_full_no_grades,freetime,0.001436802914914681,0.002010174620310336
por,random_forest_full_no_grades,social_life_index,0.0011437883698886431,0.0037089751566893657
por,random_forest_full_no_grades,Pstatus,0.0003015008240269346,0.0004503359712669597
por,random_forest_full_no_grades,paid_yes,0.00022723708083427496,0.0001230839688144751
por,random_forest_full_no_grades,famrel,0.00012501072602244534,0.0026368599345049943
por,random_forest_full_no_grades,famsize,7.369478188943291e-05,0.0008563572373668741
por,random_forest_full_no_grades,Mjob,-0.00023523347407263805,0.0012229081865132137
por,random_forest_full_no_grades,nursery_yes,-0.0006113101356790551,0.0009877785080083707
por,random_forest_full_no_grades,romantic_yes,-0.000804894408036727,0.0013553778952631794
por,random_forest_full_no_grades,goout,-0.0011057328805489596,0.0017452901718219389
por,random_forest_full_no_grades,guardian,-0.002220106795295429,0.0057383234722160345
por,random_forest_full_no_grades,activities_yes,-0.003464620825560072,0.0024760141798117505
por,random_forest_full_no_grades,studytime,-0.007568547535775761,0.007172745590761848
por,random_forest_full_no_grades,Fedu,-0.009241091269614721,0.018049206722015813
por,random_forest_full_no_grades,reason,-0.03182495908285117,0.015972545703596235
